city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
Power Windows,,bassa,0,1,,""
* Premium Plus package:,,bassa,0,1,,""
-	19-inch performance wheels,,bassa,0,1,,""
-	Power seats,,bassa,0,1,,""
- 8-way manually adjustable front seats with power lumbar adjustament,,bassa,0,1,,""
- AM/FM/SAT/1CD audio w/SD card reader & aux-in,,bassa,0,1,,""
- Driver and front passenger advanced airbag supplemental restrain system,,bassa,0,1,,""
- Vortech E drive Supercharger,,bassa,0,1,,""
-Brand new brake pads and rotors,,bassa,0,1,,""
-Pop-top with water proof Canvas for upstairs sleeping,,bassa,0,1,,""
Aberdeen,2012,media,1,1,14.0,"2012,jeep,wrangler"
Abernathy,2018,bassa,1,1,36.0,"airbags,power,wheel"
Abingdon,2009,bassa,6,7,32.29,"front,rear,system"
Abingdon,2010,bassa,8,11,32.09,"power,airbags,wheel"
Abington,2015,media,14,16,183.38,"front,power,rear"
Abington,2016,media,11,12,92.67,"power,available,system"
Accident,2020,media,11,31,84.94,"front,rear,wheel"
Acton,2008,bassa,1,1,5.0,"rear,front,type"
Acton,2014,media,1,1,48.0,"rear,driver,seats"
Acton,2020,media,48,306,89.19,"2020,rear,power"
Ada,2014,media,1,1,14.0,"front,power,wheel"
Adamsburg,2015,bassa,3,3,5.0,"front,rear,power"
Addison,1963,media,1,1,91.0,"auto,gallery,chicago"
Addison,1972,media,1,1,526.0,"rare,black,power"
Addison,1980,media,1,1,239.0,"leather,interior,surface"
Addison,1983,bassa,1,1,96.0,"blue,auto,gallery"
Addison,2009,media,1,1,69.0,"auto,gallery,chicago"
Addison,2013,bassa,31,36,88.11,"front,rear,power"
Addison,2014,media,12,14,101.71,"front,rear,power"
Addison,2015,alta,1,1,12.0,"front,rear,power"
Addison,2016,alta,6,6,243.83,"rear,power,front"
Addison,2016,bassa,9,9,130.67,"rear,front,power"
Addison,2018,media,5,7,101.43,"front,rear,power"
Addison,2019,media,4,5,80.6,"front,rear,type"
Adrian,2006,bassa,2,2,40.5,"front,rear,power"
Adrian,2016,media,5,6,34.5,"front,rear,wheel"
Advance,2001,bassa,1,1,26.0,"front,rear,door"
Afton,2016,media,1,1,39.0,"like,interior,different"
Agawam,2007,bassa,7,7,56.14,"front,power,rear"
Agawam,2014,media,2,2,153.0,"front,rear,power"
Agawam,2016,bassa,4,4,40.25,"front,rear,power"
Agawam,2020,alta,15,140,121.04,"rear,front,power"
Aiken,2013,bassa,1,1,21.0,"power,front,seats"
Akron,2005,bassa,12,14,25.86,"front,power,seat"
Akron,2006,bassa,25,31,51.42,"front,power,rear"
Akron,2009,media,2,2,22.5,"rear,front,power"
Akron,2014,media,11,12,55.17,"front,rear,wheel"
Akron,2015,alta,3,3,192.67,"front,rear,power"
Akron,2015,bassa,65,122,27.84,"front,rear,power"
Akron,2018,bassa,46,151,41.21,"front,rear,wheel"
Akron,2018,media,94,248,37.56,"front,rear,power"
Akron,2019,bassa,36,119,42.49,"front,rear,power"
Akron,2020,bassa,17,80,105.04,"front,rear,power"
Akron,2021,alta,6,11,29.55,"rear,front,power"
