city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
"\"",,bassa,0,14,,""
-	Adaptive Cruise Control,,bassa,0,1,,""
- Accustic convertible top,,bassa,0,1,,""
- Electromechanical Speed-sensitive power steering,,bassa,0,1,,""
- Front strut tower brace,,bassa,0,1,,""
- Full leather V-Sport heated steering wheel,,bassa,0,1,,""
- Steeda Tri-Ax shifter,,bassa,0,1,,""
Aberdeen,2004,bassa,1,1,26.0,"power,seat,wheel"
Aberdeen,2015,bassa,15,20,48.15,"power,control,steering"
Aberdeen,2019,bassa,10,11,42.73,"power,control,bags"
Aberdeen,2021,alta,3,16,29.38,"power,rear,package"
Abilene,2015,bassa,1,1,14.0,"great,recent,arrival"
Abilene,2016,alta,1,1,14.0,"front,rear,wheel"
Abingdon,2012,bassa,9,11,56.18,"front,rear,power"
Abingdon,2017,bassa,12,15,32.2,"front,rear,power"
Abingdon,2019,alta,2,2,24.5,"front,rear,wheel"
Abingdon,2021,media,1,1,13.0,"rear,system,driver"
Abington,1996,bassa,1,1,32.0,"power,wheel,owner"
Abington,2005,bassa,2,2,533.0,"power,wheel,additional"
Abington,2011,bassa,23,30,413.17,"front,rear,type"
Abington,2019,media,9,9,45.44,"front,power,rear"
Accident,2004,bassa,1,1,75.0,"power,windows,rear"
Accident,2018,bassa,3,4,43.25,"comma,front,rear"
Accident,2018,media,8,10,60.6,"comma,front,rear"
Accident,2019,media,8,9,75.0,"front,rear,comma"
Accident,2021,media,3,9,9.11,"engine,wheel,automatic"
Acton,2003,bassa,1,1,19.0,"power,clean,seat"
Acton,2015,media,7,7,20.71,"rear,power,seat"
Acton,2017,bassa,13,23,64.43,"rear,wheel,front"
Ada,2018,media,1,1,21.0,"front,radio,door"
Adamsburg,2009,media,1,1,27.0,"front,door,power"
Adamsburg,2014,media,1,1,19.0,"deliver,carfax,keep"
Adamsburg,2019,bassa,1,1,33.0,"deliver,ford,keep"
Addison,1973,alta,1,1,47.0,"auto,gallery,chicago"
Addison,1973,media,1,1,515.0,"dealer,leatherette,interior"
Addison,1977,bassa,1,1,85.0,"united,auto,exchange"
Addison,1998,bassa,2,2,175.5,"rear,door,control"
Addison,1999,bassa,3,3,183.33,"power,auto,gallery"
Addison,2001,bassa,7,7,41.43,"power,front,rear"
Addison,2007,alta,1,1,404.0,"exige,black,phantom"
Addison,2008,bassa,35,41,59.17,"rear,front,power"
Addison,2013,media,4,4,47.5,"front,rear,power"
Adrian,2009,bassa,2,3,7.67,"vehicle,front,rear"
Adrian,2019,bassa,3,14,98.29,"front,steering,wheel"
Adrian,2020,media,21,171,107.11,"front,rear,power"
Advance,2016,bassa,8,9,110.78,"front,rear,driver"
Agawam,2014,bassa,7,8,33.13,"front,rear,power"
Agawam,2015,media,5,5,110.2,"rear,front,power"
Akron,1976,media,1,1,182.0,"truck,ford,classic"
Akron,1999,bassa,3,3,95.0,"front,power,steering"
Akron,2003,media,2,2,154.0,"front,wheel,speed"
Akron,2005,alta,1,1,69.0,"rear,front,door"
Akron,2007,alta,2,2,183.0,"system,front,rear"
Akron,2013,bassa,78,117,43.77,"front,rear,power"
Akron,2016,bassa,59,108,40.26,"front,rear,power"
Albany,2016,media,20,24,47.88,"front,rear,power"
Albany,2018,media,41,70,36.21,"front,rear,power"
Albany,2021,alta,2,3,7.0,"rear,front,power"
Albemarle,2021,alta,3,5,32.2,""
Albemarle,2021,media,6,19,37.95,"front,rear,power"
Albion,2019,alta,1,1,99.0,"system,vehicle,audio"
Albion,2019,bassa,1,1,614.0,"includes,buick,color"
Albuquerque,2013,bassa,1,1,21.0,"power,wheel,mirrors"
Alcoa,2012,media,1,1,36.0,"sport,utility,speed"
Alcoa,2013,media,2,2,4.5,"front,seats,wheel"
Alcoa,2021,media,6,59,27.97,"rear,wheel,power"
Alden,2018,bassa,2,2,78.0,"front,rear,type"
Alexandria,2000,bassa,1,1,37.0,"state,available,virginia"
Alexandria,2008,bassa,12,13,52.92,"front,power,rear"
Alexandria,2012,bassa,21,22,44.36,"front,power,rear"
Alexandria,2015,alta,2,3,83.0,"power,system,steering"
Alexandria,2019,alta,34,76,266.67,"power,front,steering"
Alexandria,2021,alta,18,63,13.89,"power,rear,vehicles"
Allegan,2003,bassa,1,1,4.0,"rear,front,power"
Allegan,2016,media,2,2,483.0,"rear,front,power"
Allentown,1957,media,1,1,6.0,"over,bennett,recent"
Allentown,2016,bassa,43,79,37.49,"rear,power,front"
Allentown,2018,bassa,30,53,31.75,"front,rear,power"
Alliance,2012,media,2,2,45.5,"vehicle,jeep,wrangler"
Alliance,2018,media,25,37,36.46,"power,rear,wheel"
Allston,2018,alta,1,1,4.0,"package,assist,black"
Allston,2018,media,8,10,30.0,"audi,package,heated"
Allston,2020,alta,2,3,35.33,"prices,additional,lane"
Alma,2014,bassa,1,1,91.0,"rear,wheel,front"
Alpena,2018,alta,1,1,15.0,"package,seat,power"
Alsip,2001,bassa,1,1,281.0,"front,power,seat"
Alsip,2013,bassa,9,10,77.1,"front,rear,power"
Alsip,2014,bassa,7,8,105.25,"front,rear,power"
Alsip,2017,media,14,15,37.27,"front,rear,power"
Altavista,2017,media,7,7,50.57,"front,rear,power"
Altoona,2012,bassa,11,11,32.64,"front,rear,seat"
Altoona,2014,media,1,1,13.0,"power,rear,front"
Altoona,2019,media,45,90,147.61,"rear,front,power"
Altoona,2020,media,58,483,127.88,"front,rear,power"
Ambler,2012,media,1,1,10.0,"additional,info"
Ambler,2017,media,4,13,23.54,"system,while,navigation"
American Fork,2020,media,1,6,17.0,"velocity,sales,auto"
Ames,2019,media,2,2,18.0,"front,rear,power"
Amherst,2003,bassa,1,1,5.0,"front,seat,leather"
Amherst,2012,media,1,1,37.0,"jeep,wrangler,recent"
Amherst,2017,bassa,36,101,34.37,"rear,front,power"
Amityville,2014,media,1,1,13.0,"front,rear,power"
Amityville,2018,alta,1,1,27.0,"rear,power,front"
Amsterdam,2014,bassa,6,9,76.11,"front,rear,power"
Amsterdam,2019,bassa,3,3,257.33,"power,front,rear"
Anderson,2012,bassa,2,2,43.0,"power,wheel,keyless"
Anderson,2013,bassa,1,1,37.0,"power,control,bags"
Anderson,2016,bassa,1,1,5.0,"control,power,bags"
Andrews,2016,media,1,1,31.0,"rear,front,wheel"
Ann Arbor,2017,bassa,12,16,27.31,"front,rear,wheel"
Annapolis,2012,bassa,13,16,20.69,"front,rear,system"
Annapolis,2015,alta,1,3,12.33,"porsche,front,package"
Annapolis,2016,media,27,37,24.59,"power,front,rear"
Annapolis,2019,media,57,92,122.11,"power,rear,front"
Annapolis,2021,media,21,175,19.95,"front,rear,power"
Ansonia,2009,media,4,4,109.0,"certified,2009,carfax"
Ansonia,2010,media,2,3,377.0,"price,carfax,state"
Antioch,2004,bassa,2,2,15.5,"front,rear,seat"
Antioch,2015,alta,1,1,26.0,"front,power,system"
Antioch,2016,media,6,12,26.17,"power,front,rear"
Antioch,2018,alta,3,3,39.33,"power,system,front"
Apalachin,2014,media,1,1,25.0,"additional,info,cleaner"
Apalachin,2015,media,2,2,8.0,"power,rear,mirror"
Apalachin,2019,alta,1,1,180.0,"recognition,phone,additional"
Apex,2008,bassa,1,1,19.0,"front,rear,type"
Apex,2018,media,31,54,43.8,"front,rear,power"
Apollo,2020,media,12,60,109.32,"ford,best,power"
Appomattox,2006,bassa,1,1,1.0,"power,please,control"
Appomattox,2017,bassa,3,3,91.33,"bags,please,power"
Arden,2001,media,1,1,83.0,"wheel,power,steering"
Arden,2010,bassa,1,1,551.0,"front,rear,type"
Arlington,1989,bassa,1,1,168.0,"front,anti,elect"
Arlington,2009,bassa,21,26,40.12,"front,rear,type"
Arlington,2016,media,45,60,53.05,"power,rear,front"
Arlington,2021,media,12,75,21.2,"power,rear,seat"
Arlington Heights,2015,media,13,14,18.43,"front,rear,power"
Arlington Heights,2016,media,20,32,27.84,"front,rear,power"
Arlington Heights,2020,alta,29,171,94.09,"front,power,rear"
Arlington Heights,2020,media,47,704,82.55,"front,rear,power"
Arundel,2020,alta,5,52,38.98,"package,wheel,power"
Asbury Park,1990,bassa,1,1,414.0,"power,available,produced"
