city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
* Vision package:,,bassa,0,1,,""
-	Dual-Zone Climate Control,,bassa,0,1,,""
-	New High-Performance Michelin Pilot Sport 4S tires,,bassa,0,1,,""
"- 18\"\" 10-spoke wheels All season Tires *",,bassa,0,1,,""
- Audi sound system,,bassa,0,1,,""
- Audi xenon plus headlights W/ LED DRLs & taillights,,bassa,0,1,,""
- Beautiful rich Kona Brown Leather Interior,,bassa,0,1,,""
- Bluetooth,,bassa,0,1,,""
- Corbeau Racing Seats,,bassa,0,1,,""
"- Optima RedTop Battery (moved to the trunk)\"",,bassa,0,1,,""
- Tires are recent (Michelin Pilot Sport A/S,,bassa,0,1,,""
-New Engine Air Filters @ 55.5K miles,,bassa,0,1,,""
-Oil changed using OW40 & 5W50 depending on season.,,bassa,0,1,,""
-Slide-flat bench for two additional sleepy adults,,bassa,0,1,,""
Abilene,2017,media,1,2,23.0,"front,rear,control"
Abilene,2019,alta,1,1,43.0,"comma,front,rear"
Abingdon,1999,bassa,1,1,5.0,"front,brakes,passenger"
Abingdon,2008,bassa,3,3,62.33,"power,shawn,wheel"
Abingdon,2011,bassa,4,5,79.4,"airbags,power,shawn"
Abingdon,2014,bassa,5,5,24.6,"front,rear,power"
Abingdon,2016,bassa,6,10,66.3,"front,rear,system"
Abingdon,2017,media,14,17,30.35,"front,rear,power"
Abington,1999,bassa,2,2,1656.5,"additional,info,wheel"
Abington,2002,bassa,3,3,268.0,"front,type,wheel"
Abington,2014,media,2,2,197.5,"power,airbags,conditioning"
Accident,2008,bassa,1,1,307.0,"front,rear,audio"
Acton,2011,bassa,5,5,75.4,"front,rear,type"
Acton,2016,media,7,8,66.0,"rear,power,front"
Ada,2015,bassa,2,2,21.0,"front,door,power"
Ada,2019,alta,1,1,39.0,"front,rear,control"
Adamsburg,2007,bassa,1,1,1.0,"power,rear,front"
Adamsburg,2018,media,5,7,18.0,"rear,front,deliver"
Addison,1971,alta,1,1,77.0,"bluetooth,fuse,handsfree"
Addison,1971,bassa,1,1,80.0,"auto,gallery,chicago"
Addison,1988,bassa,3,3,158.33,"rear,auto,system"
Addison,2003,bassa,7,9,92.44,"power,steering,wheel"
Addison,2014,alta,1,1,151.0,"speed,parking,front"
Addison,2017,alta,2,2,148.0,"rear,front,power"
Adrian,2008,bassa,1,1,5.0,"front,brakes,passenger"
Adrian,2019,media,9,15,157.2,"front,power,rear"
Agawam,2004,bassa,2,2,42.5,"power,seat,front"
Agawam,2006,bassa,1,1,20.0,"front,rear,type"
Agawam,2009,bassa,5,6,79.67,"front,power,rear"
Agawam,2011,bassa,10,11,71.73,"front,rear,power"
Agawam,2018,alta,3,3,58.0,"power,rear,front"
Agawam,2018,media,9,20,56.25,"front,rear,power"
Akron,1992,bassa,1,1,99.0,"power,wheel,additional"
Akron,2002,bassa,2,2,16.0,"mirror,power,over"
Akron,2008,alta,1,1,50.0,"front,type,rear"
Akron,2010,alta,1,1,70.0,"system,front,control"
Akron,2010,media,3,4,14.0,"front,rear,power"
Akron,2011,alta,1,1,132.0,"front,rear,power"
Akron,2012,media,6,7,20.71,"front,rear,power"
Akron,2015,media,30,40,22.45,"front,rear,power"
Akron,2017,media,107,378,32.87,"front,rear,power"
Akron,2020,media,114,925,98.08,"front,power,rear"
Albany,2012,media,3,3,180.0,"front,rear,type"
Albany,2015,media,11,11,47.0,"rear,front,power"
Albany,2017,media,58,138,33.93,"rear,front,power"
Albany,2019,bassa,14,17,54.82,"front,rear,wheel"
Albemarle,2010,bassa,2,2,41.0,"front,rear,seat"
Albemarle,2016,bassa,13,17,39.18,"wheel,power,front"
Albemarle,2020,bassa,4,8,73.25,"wheel,front,rear"
Albion,2018,bassa,3,3,45.33,"rear,power,automatic"
Albion,2021,alta,2,2,10.0,"boasts,chevrolet,engine"
Alcoa,2010,media,1,1,3.0,"front,wheel,power"
Alcoa,2012,bassa,3,3,20.67,"front,power,wheel"
Alcoa,2015,media,4,5,8.6,"rear,power,wheel"
Alcoa,2019,media,27,47,65.11,"power,rear,front"
Aledo,2011,media,1,1,211.0,"front,owned,essig"
Alexandria,1998,bassa,1,1,70.0,"power,credit,inspected"
Alexandria,2015,bassa,31,45,30.31,"front,rear,power"
Alexandria,2020,media,128,1467,89.01,"front,rear,power"
Algonquin,2012,bassa,2,2,22.5,"power,rear,front"
Algonquin,2014,bassa,3,3,23.33,"power,radio,driver"
Algonquin,2020,media,11,114,192.32,"power,rear,wheel"
Allegan,2013,media,1,1,344.0,"front,wheel,steering"
Allendale,2012,bassa,1,1,13.0,"power,wheel,clean"
Allentown,2008,media,1,1,28.0,"wheel,standard,features"
Allentown,2013,bassa,52,62,38.74,"front,rear,power"
Allentown,2014,media,11,13,43.31,"rear,power,wheel"
Allentown,2020,alta,65,211,103.81,"power,rear,seat"
Alliance,2013,media,3,3,26.67,"power,system,control"
Alliance,2017,media,28,50,28.62,"power,front,rear"
Alliance,2019,alta,4,4,44.25,"front,power,wheel"
Alma,2017,alta,1,1,201.0,"power,front,rear"
Alma,2017,media,7,8,89.13,"rear,front,power"
Alma,2018,media,9,16,48.13,"front,rear,power"
Alma,2019,bassa,1,1,295.0,"package,power,rear"
Alpena,2010,bassa,1,1,18.0,""
Alpena,2012,bassa,3,3,22.0,""
Alpena,2018,media,13,16,21.44,"seat,power,rear"
Alsip,1965,alta,1,1,19.0,"purchase,confidence,quality"
Alsip,2003,bassa,2,2,38.0,"power,wheel,additional"
Alsip,2014,media,2,2,240.5,"front,rear,power"
Altavista,2018,media,9,11,144.64,"front,rear,power"
Alton,2012,bassa,2,2,13.5,"power,bags,control"
Alton,2013,bassa,1,1,48.0,"power,control,bags"
Altoona,2011,media,1,1,11.0,"front,power,rear"
Altoona,2016,bassa,28,41,43.54,"front,rear,power"
Amarillo,2019,bassa,1,1,19.0,"front,seat,rear"
Ambler,2008,bassa,1,1,54.0,"offers,luxury,power"
Ambler,2017,bassa,6,31,31.81,"system,power,keyless"
Ambler,2018,alta,1,1,15.0,"diesel,capability,seats"
American Fork,2009,media,1,1,33.0,"front,rear,steering"
Amherst,2008,bassa,5,5,10.4,"front,rear,steering"
Amherst,2014,media,1,1,20.0,"front,steering,wheel"
Amherst,2019,media,44,93,61.19,"front,rear,control"
Amherst,2021,media,5,23,13.7,"power,front,black"
Amityville,2007,bassa,3,3,51.0,"prices,accurate,advertised"
Amityville,2013,bassa,5,5,29.2,"front,wheel,rear"
Amityville,2016,alta,1,1,102.0,"seats,rear,system"
Amsterdam,2017,media,17,30,40.47,"rear,power,front"
Anaheim,2012,bassa,1,1,26.0,"power,steering,control"
Andover,1954,alta,1,1,145.0,"fresh,change,fully"
Andover,1957,alta,2,2,141.5,"white,1957,nobody"
Andover,1968,media,1,1,145.0,"number,matching,additional"
Andover,2012,bassa,1,1,40.0,"front,power,seat"
Andover,2016,media,1,1,99.0,"front,rear,power"
Andrews,2018,media,1,1,31.0,"laramie,bright,white"
Andrews,2019,bassa,1,1,24.0,"front,steering,speed"
Angola,2010,bassa,1,1,50.0,"power,alloy,wheels"
Ann Arbor,2019,bassa,1,1,38.0,"front,wheel,steering"
Ann Arbor,2021,alta,3,4,18.25,"front,seats,heated"
Annapolis,2008,bassa,4,4,13.0,"power,wheel,seat"
Annapolis,2016,alta,2,2,46.0,"front,rear,assist"
Annapolis,2020,alta,59,248,106.99,"front,rear,power"
Ansonia,2004,bassa,5,9,165.44,"certified,state,carfax"
Ansonia,2007,bassa,7,7,73.0,"certified,carfax,state"
Ansonia,2011,media,12,16,173.88,"certified,carfax,state"
Ansonia,2018,bassa,1,1,60.0,"state,black,carfax"
Antioch,2015,media,6,6,52.33,"front,rear,power"
Antioch,2016,alta,1,1,8.0,"front,rear,heated"
Antioch,2021,alta,3,14,25.93,"rear,power,front"
Apalachin,2016,media,2,2,57.5,"power,seat,mirror"
Apex,2006,media,1,1,182.0,"front,rear,power"
Apex,2016,media,20,26,32.69,"front,rear,power"
Apex,2020,media,27,279,153.32,"front,rear,power"
Appleton,2013,bassa,1,1,236.0,"front,rear,type"
Appleton,2018,media,2,2,15.5,"rear,front,power"
Appleton,2019,alta,1,1,19.0,"front,rear,seat"
Appomattox,2018,bassa,1,1,158.0,"power,control,bags"
Aransas Pass,2014,bassa,1,1,25.0,"power,wheel,steering"
Archbald,2015,bassa,1,1,15.0,"2015,ford,focus"
Arden,2008,bassa,3,3,92.0,"front,rear,type"
Arden,2018,media,7,8,41.75,"power,rear,seat"
Arden,2020,media,5,15,151.33,"power,rear,wheel"
Arden,2021,alta,5,11,11.55,"power,rear,mirror"
Arlington,2002,bassa,2,2,81.5,"comma,front,rear"
Arlington,2010,alta,1,1,25.0,"power,steering,seats"
Arlington,2010,bassa,29,35,52.86,"front,rear,power"
Arlington,2012,bassa,49,56,70.32,"front,rear,power"
Arlington,2015,media,21,29,58.17,"power,rear,front"
Arlington,2020,bassa,10,23,72.48,"front,power,rear"
Arlington Heights,1999,bassa,1,1,572.0,""
Arlington Heights,2008,bassa,10,10,14.8,"front,wheel,power"
Arlington Heights,2014,media,4,4,18.75,"front,power,rear"
Arlington Heights,2015,bassa,22,28,15.89,"front,rear,power"
Arundel,2012,bassa,3,3,131.33,"control,power,front"
Asbury Park,1996,media,1,1,60.0,"front,power,condition"
Asbury Park,2013,bassa,8,8,31.63,"front,rear,power"
Asbury Park,2018,bassa,5,11,34.73,"front,rear,power"
Asbury Park,2020,bassa,1,1,47.0,"front,rear,windows"
Ashby,2004,bassa,3,3,131.33,"front,power,wheel"
Asheboro,2004,bassa,2,2,22.5,"power,driver,seat"
Asheville,2004,bassa,5,6,80.83,"power,airbag,steering"
Asheville,2014,bassa,32,44,37.73,"front,power,rear"
Asheville,2021,media,15,131,23.37,"front,rear,audio"
Ashland,1996,bassa,2,2,198.5,"power,steering,wheel"
Ashland,2004,bassa,5,6,163.5,"front,power,rear"
Ashtabula,2010,bassa,2,2,25.5,"front,rear,power"
Astoria,2017,bassa,2,2,41.5,"front,rear,driver"
Athens,2020,media,36,187,94.43,"front,rear,wheel"
Atlanta,2012,bassa,1,1,126.0,"power,vehicle,front"
Atlanta,2020,media,1,1,59.0,"test,drive,sales"
Atlantic Beach,2014,bassa,1,1,43.0,"front,rear,power"
Atlantic City,2017,bassa,3,3,90.0,"color,includes,wheel"
Atlantic City,2017,media,8,16,36.06,"automatic,front,drive"
Attica,2020,bassa,2,2,66.5,""
Attica,2021,media,4,11,14.82,"power,heated,seats"
Attleboro,2011,bassa,17,20,38.65,"front,rear,type"
Attleboro,2016,bassa,22,25,38.16,"rear,front,wheel"
Auburn,1981,bassa,1,1,278.0,"used,credit,route"
Auburn,2007,media,1,1,84.0,"rear,front,system"
Auburn,2011,media,4,4,178.75,"front,seat,steering"
Auburn,2012,media,1,1,41.0,"steering,airbag,seat"
Auburn,2013,bassa,51,69,73.71,"front,rear,power"
Auburn,2014,bassa,51,83,59.49,"front,rear,power"
Auburn,2018,bassa,37,75,52.16,"wheel,front,power"
Auburn,2021,alta,2,3,35.0,"driver,wheel,power"
Auburn Hills,2012,bassa,10,10,22.9,"front,wheel,rear"
Auburn Hills,2018,media,2,2,82.0,"system,wheel,rear"
Audi smartphone interface,,bassa,0,1,,""
Augusta,2016,bassa,7,7,68.86,"front,rear,power"
Aurora,2006,bassa,7,8,45.88,"power,steering,airbag"
Aurora,2008,bassa,9,9,27.67,"power,steering,seat"
Aurora,2009,media,1,1,4.0,"front,steering,wheel"
Aurora,2010,bassa,13,14,53.57,"front,power,steering"
Aurora,2011,bassa,15,16,63.69,"front,steering,power"
Aurora,2013,media,3,4,10.25,"front,wheel,steering"
Aurora,2019,bassa,9,12,34.83,"front,rear,system"
Austin,2013,bassa,2,2,50.0,"front,rear,dual"
Austin,2016,bassa,2,2,35.0,"front,rear,power"
Austinburg,2018,media,4,4,22.5,""
Austintown,2014,bassa,2,2,72.0,"front,rear,power"
Avenel,2017,alta,4,5,9.0,"front,passenger,manual"
Avon,2011,media,2,2,121.5,"system,wheel,seat"
Avon,2016,bassa,17,18,77.78,"front,rear,wheel"
Avon,2017,media,36,82,46.49,"front,rear,power"
Avon,2018,bassa,13,23,57.43,"front,rear,power"
Avon Lake,2014,alta,1,1,493.0,"leather,premium,panel"
Ayden,2013,bassa,1,1,39.0,"2013,honda,odyssey"
Ayden,2014,media,2,2,26.0,"seats,bluetooth,2014"
Ayer,2002,bassa,1,1,11.0,"front,power,wheel"
Ayer,2016,bassa,2,2,51.5,"front,wheel,power"
Ayer,2017,bassa,5,8,33.75,"front,rear,wheel"
Ayer,2019,bassa,1,1,20.0,"front,rear,system"
Aylett,2017,bassa,2,2,14.0,"front,rear,type"
Bad Axe,2016,media,1,1,4.0,"front,rear,type"
Bad Axe,2020,media,19,74,88.82,"front,rear,color"
Baden,2017,bassa,6,13,60.15,"wheel,driver,system"
Bailey,2018,bassa,1,1,23.0,"front,rear,type"
Bakerstown,2011,bassa,1,1,14.0,"door,front,mirrors"
Bala Cynwyd,2015,media,1,1,21.0,"willys,power,wheeler"
Bala Cynwyd,2018,media,6,8,27.88,"power,rear,wheel"
Bala Cynwyd,2021,media,5,24,15.33,"wheels,wheel,heated"
Baldwinsville,2019,media,4,4,45.25,"power,rear,seat"
Baltimore,2005,bassa,4,4,14.75,"steering,front,power"
Baltimore,2008,media,3,3,287.67,"front,type,rear"
Baltimore,2014,media,16,20,66.35,"rear,power,front"
Baltimore,2015,bassa,53,86,50.79,"front,rear,power"
Baltimore,2020,alta,31,294,84.22,"koons,power,front"
Banning,2009,bassa,1,1,144.0,"front,rear,type"
Baptistown,2015,media,1,1,28.0,"power,seats,control"
Barboursville,2019,media,3,14,394.86,"rear,front,power"
Barboursville,2021,alta,1,1,6.0,"front,rear,power"
Bardstown,2014,bassa,1,1,33.0,"family,cylinder,2014"
Barkhamsted,2011,bassa,1,1,14.0,"power,rear,control"
Barnesville,2017,bassa,1,1,7.0,"rear,front,type"
Barneveld,2015,media,1,1,13.0,"rear,front,power"
Barre,2003,bassa,2,2,33.5,"front,rear,wheel"
Barre,2006,bassa,1,2,11.0,"rear,front,door"
Barre,2007,bassa,3,3,98.33,"front,rear,type"
Barre,2009,bassa,4,4,23.75,"front,rear,power"
Barre,2010,bassa,10,12,144.17,"front,rear,wheel"
Barre,2014,bassa,22,24,104.33,"front,rear,power"
Barre,2020,alta,3,3,110.67,"power,seat,rear"
Barre,2020,media,32,121,100.43,"unlimited,vehicle,front"
Barrington,1977,bassa,1,1,13.0,"been,series,truck"
Barrington,2001,bassa,1,1,17.0,"rear,front,inch"
Barrington,2009,bassa,5,5,50.2,"front,rear,seat"
Barrington,2014,bassa,25,29,45.0,"front,rear,power"
Barrington,2019,bassa,6,7,128.86,"front,rear,wheel"
Bartonsville,2007,bassa,1,1,32.0,"power,wheel,bags"
Batavia,2010,bassa,2,2,8.5,"front,power,wheel"
Batavia,2011,bassa,2,2,79.5,"front,rear,seat"
Batavia,2020,alta,7,11,62.27,"power,toyota,platinum"
Batesville,1992,bassa,1,1,371.0,"front,camry,driver"
Batesville,2001,bassa,1,1,172.0,"power,front,steering"
Batesville,2009,bassa,1,2,391.0,"front,rear,type"
Bath,2021,alta,2,2,18.0,"engine,aluminum,wireless"
Baton Rouge,2010,bassa,2,2,91.5,"front,rear,system"
Baton Rouge,2021,media,1,34,31.35,"front,rear,power"
Battle Creek,1985,bassa,1,1,7.0,""
Bay City,2002,bassa,2,2,16.5,"rear,front,wheel"
Bay City,2016,media,20,30,29.13,"front,power,rear"
Bay Minette,2019,media,2,2,52.0,"rear,front,wheel"
Bayonne,2006,bassa,1,1,1.0,"power,control,wheel"
Bayonne,2016,alta,1,1,182.0,"auto,credit,promotional"
Bayonne,2017,bassa,5,5,47.2,"front,rear,type"
Bayside,2020,alta,15,219,64.33,"black,front,speed"
Baytown,2016,bassa,1,1,30.0,"front,rear,seatbelts"
Beachwood,2012,bassa,4,4,14.75,"front,door,rear"
Beachwood,2014,bassa,7,8,23.5,"front,rear,door"
Beachwood,2021,media,1,2,12.0,"deliver,door,buick"
Bealeton,2010,bassa,8,8,82.0,"power,vehicles,prices"
Beaufort,2018,media,1,1,7.0,"speed,automatic,overdrive"
Beaver Falls,2011,media,1,1,357.0,"front,rear,power"
Beaver Falls,2014,bassa,2,3,276.33,"front,rear,audio"
Beaver Springs,2016,bassa,1,1,14.0,"rear,front,door"
Beavercreek,2017,bassa,1,1,80.0,"front,rear,power"
Beaverton,2006,bassa,1,1,55.0,"front,rear,vehicle"
Beaverton,2014,media,1,1,25.0,"qx70,owner,only"
Beaverton,2016,media,1,1,412.0,"rear,system,front"
Beaverton,2017,media,2,2,24.5,"front,power,rear"
Beckley,2016,bassa,9,10,86.0,"front,rear,power"
Beckley,2019,media,41,75,131.28,"front,rear,power"
Beckley,2020,bassa,4,18,174.44,"front,wheel,steering"
Bedford,2015,alta,1,1,6.0,"power,system,seats"
Bedford,2019,alta,11,14,112.29,"front,power,rear"
Bedford Hills,2020,alta,12,62,96.79,"front,rear,wheel"
Bedford Hills,2020,media,22,107,82.04,"front,rear,power"
Beech Grove,2007,bassa,1,1,13.0,"toyota,great,clean"
Bel Air,2010,bassa,1,2,33.0,"front,rear,power"
Bel Air,2014,media,3,4,17.5,"front,rear,system"
Bel Air,2017,media,30,49,49.65,"front,rear,power"
Belchertown,2014,bassa,1,1,339.0,"front,rear,type"
Belchertown,2014,media,1,1,11.0,"front,rear,type"
Belford,2010,bassa,3,3,37.33,"vehicle,equipment,power"
Belford,2014,media,1,1,18.0,"condition,1500,express"
Belford,2020,media,1,1,55.0,"pricing,vehicle,infiniti"
Belington,2016,bassa,2,2,201.0,"power,lights,seats"
Belle Mead,2002,bassa,2,2,296.0,"drive,visit,belle"
Belle Mead,2007,bassa,3,3,43.67,"rear,front,seat"
Belle Vernon,2019,media,8,13,74.08,"rear,front,power"
Bellerose,2015,bassa,1,1,5.0,"honda,accord,sedan"
Belleville,2012,bassa,1,1,12.0,"power,vehicle,steering"
Belmont,2010,bassa,14,16,134.56,"front,rear,type"
Belmont,2011,media,2,2,60.0,"front,rear,type"
Belmont,2015,media,1,1,124.0,"rear,front,power"
Belmont,2016,bassa,9,15,32.6,"power,wheel,airbags"
Belmont,2018,bassa,2,2,62.5,"power,airbags,head"
Beloit,2010,bassa,6,6,79.67,"front,rear,type"
Beloit,2014,bassa,5,5,76.4,"front,rear,type"
Belvidere,2008,bassa,1,1,13.0,"front,rear,type"
Bennington,2007,bassa,1,1,6.0,"unlimited,available,plus"
Bensalem,2008,bassa,1,1,20.0,"front,rear,type"
Bensenville,1991,bassa,1,1,100.0,""
Bensenville,1995,bassa,1,1,35.0,"power,clean,call"
Bensenville,2009,bassa,5,5,86.6,"front,rear,system"
Bensenville,2015,alta,1,1,223.0,"front,rear,power"
Bensenville,2015,media,11,12,62.42,"rear,front,power"
Bensenville,2018,bassa,6,9,19.89,"front,wheel,rear"
Bensenville,2020,bassa,2,12,46.0,"radio,2020,volkswagen"
Benton,2014,bassa,1,1,4.0,"front,rear,type"
Benton Harbor,2011,bassa,1,1,18.0,"front,wheel,power"
Benton Harbor,2012,bassa,1,1,8.0,"power,front,system"
