city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
A/C FrontAirbag,,bassa,0,1,,""
* Towing package:,,bassa,0,1,,""
-	3.73 Torsen limited-slip differential,,bassa,0,1,,""
-	Corsa Xtreme Cat-Back exhaust,,bassa,0,1,,""
- 2.0L TFS 220hp/ 258lb-ft 14  engine,,bassa,0,1,,""
- Dash pods with Fuel Pressure Gauge and Boost Gauge,,bassa,0,1,,""
- Dual-zone automatic climate control,,bassa,0,1,,""
- Full length subframe connectors (welded),,bassa,0,1,,""
- Infotainment has all latest updates,,bassa,0,1,,""
- Power adjustable exterior mirrors,,bassa,0,1,,""
- Rear seat delete kit,,bassa,0,1,,""
- Saleen S351 body kit,,bassa,0,1,,""
- Trunk protective mat included,,bassa,0,1,,""
- tire mobility kit (without spare tire),,bassa,0,1,,""
-Convenient lighting to help you read and socialize throughout,,bassa,0,1,,""
1 small dent on the passenger side,,bassa,0,1,,""
2 One-Touch Power Windows,,bassa,0,1,,""
2015 Audi A3 Cabriolet 2.0T Quattro S tronic,,bassa,0,1,,""
35x12.50x20 Toyo Open Country CT tires( $469 per tire-$1876 total),,bassa,0,1,,""
95,,bassa,1,1,,battery
Aberdeen,2005,bassa,1,1,0.0,"power,steering,airbag"
Abingdon,2015,bassa,15,18,23.61,"front,rear,power"
Abingdon,2016,media,5,5,21.4,"rear,front,power"
Abington,2008,media,1,1,187.0,"front,rear,power"
Abington,2013,bassa,36,41,138.66,"front,rear,power"
Accident,2014,bassa,1,1,105.0,"front,rear,power"
Accident,2019,alta,1,2,345.0,"rear,front,seat"
Acton,2018,bassa,6,6,15.83,"rear,wheel,driver"
Ada,2016,media,1,1,21.0,"experience,difference,seth"
Adamsburg,2013,bassa,5,5,21.2,"front,power,rear"
Adamsburg,2015,media,2,2,10.5,"deliver,carfax,keep"
Adamsburg,2016,media,2,3,28.33,"deliver,door,carfax"
Adamsburg,2020,media,11,118,91.9,"front,rear,wheel"
Addison,1967,alta,1,1,306.0,"auto,gallery,chicago"
Addison,1996,bassa,2,2,141.5,"power,steering,worry"
Addison,2002,bassa,13,14,79.21,"power,steering,control"
Addison,2002,media,2,2,33.0,"power,rear,leather"
Addison,2004,bassa,12,12,66.75,"power,steering,rear"
Addison,2006,bassa,25,30,69.27,"front,power,rear"
Addison,2007,media,3,4,36.0,"chicago,certified,chrome"
Addison,2009,bassa,30,34,79.62,"front,rear,power"
Addison,2010,bassa,34,38,81.66,"front,rear,power"
Addison,2017,media,14,17,35.76,"front,rear,power"
Adrian,2007,bassa,4,4,26.5,"front,rear,power"
Adrian,2010,bassa,2,2,34.5,"front,rear,wheel"
Adrian,2014,bassa,8,9,29.89,"front,wheel,rear"
Adrian,2018,media,13,18,34.5,"front,wheel,rear"
Adrian,2020,alta,9,22,144.5,"rear,front,steering"
Advance,2010,bassa,1,1,1.0,"rear,seat,dual"
Advance,2015,bassa,7,7,48.43,"front,rear,driver"
Afton,2005,bassa,1,1,39.0,"great,would,trail"
Agawam,2017,alta,1,1,30.0,"front,rear,color"
Akron,2003,bassa,12,14,82.21,"power,front,seat"
Akron,2011,bassa,53,72,45.32,"front,power,rear"
Akron,2014,alta,3,5,49.2,"front,rear,wheel"
Akron,2016,alta,3,5,180.2,"rear,front,power"
Akron,2017,alta,9,11,75.18,"front,rear,power"
Alabaster,2008,bassa,1,1,6.0,"front,console,driver"
Albany,2001,bassa,1,1,68.0,"financing,everyone,apply"
Albany,2006,bassa,1,1,26.0,"power,airbag,control"
Albany,2006,media,1,1,28.0,"power,seat,front"
Albany,2014,bassa,35,47,51.19,"front,rear,power"
Albany,2016,bassa,38,58,69.43,"front,rear,power"
Albany,2018,alta,5,6,205.67,"front,rear,power"
Albany,2020,alta,23,101,122.61,"2020,additional,price"
Albemarle,2015,media,8,10,18.2,"power,rear,wheel"
Albemarle,2019,media,20,33,242.55,"wheel,driver,power"
Albion,2016,media,1,2,20.5,"automatic,rear,speed"
Albion,2018,media,9,22,23.05,"power,rear,automatic"
Albuquerque,2017,bassa,1,2,36.0,"power,wheel,airbags"
Albuquerque,2017,media,2,2,59.0,"power,wheel,vehicles"
Alcoa,2011,bassa,6,6,20.5,"front,wheel,power"
Alcoa,2016,bassa,10,11,26.0,"rear,wheel,front"
Alcoa,2017,bassa,9,16,34.0,"rear,front,wheel"
Alden,2012,bassa,12,13,175.15,"front,rear,type"
Alexandria,1994,bassa,1,1,2.0,"sheehy,honda,9925"
Alexandria,2009,alta,1,1,20.0,"front,rear,power"
Alexandria,2017,media,125,355,47.55,"power,front,rear"
Algonquin,2017,bassa,8,21,51.38,"power,rear,seat"
Algonquin,2017,media,5,6,25.5,"power,rear,seat"
Algonquin,2019,media,1,1,8.0,"chevrolet,vehicle,blazer"
Allegan,2012,bassa,2,3,13.33,"front,rear,steering"
Allegan,2017,media,8,10,53.1,"front,rear,power"
Allentown,1971,media,1,1,6.0,"over,bennett,recent"
Allentown,2002,bassa,3,3,18.0,"front,steering,passenger"
Allentown,2006,bassa,13,13,36.08,"front,power,rear"
Allentown,2008,bassa,19,24,68.46,"front,rear,power"
Allentown,2015,alta,1,2,112.0,"power,passenger,porsche"
Alliance,2003,bassa,1,1,39.0,"front,power,rear"
Alliance,2005,bassa,3,3,5.33,"power,rear,front"
Alliance,2005,media,1,1,0.0,"power,steering,wheels"
Alliance,2020,alta,20,164,57.61,"power,experience,rear"
Alliance,2021,bassa,1,4,73.75,""
Allston,1995,alta,1,1,62.0,"prices,subject,change"
Alma,2011,bassa,3,3,17.67,"rear,front,power"
Alma,2016,media,1,1,203.0,"rear,front,power"
Alma,2018,alta,2,3,128.0,"front,rear,power"
Alma,2020,media,17,54,113.11,"front,rear,power"
Alpena,2015,media,3,4,167.0,"vehicle,find,drive"
Also have ÃÂ¢ÃÂÃÂlions kitÃÂ¢ÃÂÃÂ rear diffuser & a ÃÂ¢ÃÂÃÂliquid vinylÃÂ¢ÃÂÃÂ splitter included but not installed.  Pics of these will be in the photo list,,bassa,0,1,,""
Altavista,2010,bassa,1,1,0.0,"recent,arrival,clean"
Alton,2004,bassa,1,1,13.0,"power,wheel,additional"
Altoona,2015,media,5,5,41.0,"rear,front,power"
Altoona,2018,bassa,19,38,53.97,"front,rear,power"
Altoona,2018,media,29,52,33.54,"front,rear,power"
Amarillo,2014,bassa,3,3,37.67,"front,rear,side"
Amarillo,2018,media,1,1,12.0,"wheel,rear,steering"
Ambler,2012,bassa,3,3,19.67,"power,system,additional"
American Fork,2013,bassa,1,1,40.0,"front,steering,wheel"
American Fork,2014,bassa,1,1,18.0,"front,velocity,sales"
American Fork,2018,media,1,1,18.0,"front,auto,seat"
American Fork,2019,media,2,2,19.0,"rear,front,power"
Ames,2019,bassa,3,3,18.0,"front,rear,steering"
Amherst,1997,bassa,1,1,6.0,"front,power,steering"
Amherst,2006,bassa,3,3,22.0,"front,wheel,seat"
Amherst,2010,bassa,3,3,44.67,"front,power,rear"
Amherst,2011,bassa,5,5,30.2,"available,airbags,wheel"
Amherst,2014,bassa,12,14,19.57,"front,wheel,steering"
Amityville,2009,bassa,2,2,75.5,"seats,front,heated"
Amityville,2012,bassa,6,6,122.0,"prices,accurate,make"
Amityville,2014,bassa,9,11,55.45,"front,wheel,rear"
Amityville,2016,bassa,19,24,44.17,"rear,front,power"
Amsterdam,2016,bassa,9,14,106.86,"front,power,wheel"
Amsterdam,2019,alta,1,1,4.0,"carfax,recent,arrival"
Anaheim,2016,media,1,1,44.0,"price,vehicle,jstar"
Anaheim,2018,bassa,1,1,77.0,"front,passenger,certified"
Anderson,2015,bassa,3,3,41.0,"power,control,wheel"
Andover,2016,bassa,1,1,17.0,"front,rear,power"
Andover,2020,bassa,1,1,292.0,""
Angola,2017,bassa,4,4,35.75,"power,control,wheels"
Angola,2020,media,4,9,37.0,""
Ann Arbor,2010,bassa,1,1,13.0,"front,power,rear"
Ann Arbor,2020,media,46,376,101.98,"front,rear,wheel"
Annapolis,2013,bassa,20,29,49.83,"front,power,control"
Annapolis,2013,media,4,4,22.0,"control,2013,awards"
Anson,2017,media,2,3,42.67,"2017,front,rear"
Anson,2020,alta,1,1,46.0,"speed,automatic,white"
Ansonia,1986,bassa,1,1,554.0,"carfax,certified,state"
Ansonia,1999,bassa,1,1,200.0,"certified,carfax,like"
Ansonia,2007,media,3,3,239.0,"carfax,certified,2007"
Ansonia,2016,media,20,22,168.0,"certified,state,2016"
Ansonia,2017,alta,1,1,468.0,"certified,carfax,state"
Antioch,2009,bassa,8,8,20.88,"front,power,rear"
Apex,2010,bassa,1,1,10.0,"clean,carfax,panoramic"
Apex,2017,bassa,31,56,40.07,"front,rear,wheel"
Apex,2019,alta,6,11,139.45,"front,rear,package"
Apollo,2018,media,1,4,25.0,"power,rear,seat"
Apollo,2019,bassa,1,1,21.0,"power,mirror,driver"
Apple Valley,2017,bassa,1,1,40.0,"front,rear,power"
Appleton,2017,bassa,1,1,19.0,"front,wheel,rear"
Aransas Pass,2016,bassa,1,1,101.0,"power,rear,seat"
Arden,2014,bassa,8,8,84.25,"front,rear,type"
Arden,2015,media,2,2,13.0,"power,seat,rear"
Arden,2017,media,10,18,38.44,"power,rear,mirror"
Ardmore,2019,bassa,2,3,20.0,"power,wheel,control"
Arleta,2013,bassa,1,1,35.0,"front,rear,type"
Arlington,1996,bassa,1,1,13.0,"carfax,price,vehicle"
Arlington,2005,media,2,3,31.33,"power,rear,wheel"
Arlington,2007,bassa,22,24,50.79,"front,rear,seat"
Arlington,2011,alta,1,1,14.0,"control,power,bags"
Arlington,2011,bassa,33,39,49.74,"front,rear,power"
Arlington,2016,bassa,44,53,71.7,"front,power,rear"
Arlington Heights,2016,alta,1,1,39.0,"seats,navigation,heated"
Arlington Heights,2018,media,33,64,31.22,"front,rear,power"
Arlington Heights,2019,media,43,87,119.85,"front,rear,power"
Arundel,2014,bassa,3,3,14.67,"wheel,power,package"
Arundel,2015,bassa,2,2,12.0,"trade,speed,automatic"
Arundel,2016,media,4,4,144.75,"wheel,power,control"
Arundel,2021,media,2,4,32.0,"power,wheel,control"
Asbury Park,2019,alta,1,1,13.0,"front,seat,power"
Ashby,2011,bassa,2,2,61.0,"front,rear,type"
Asheboro,2019,media,36,65,91.2,"front,rear,power"
Asheboro,2021,media,5,15,18.53,"front,rear,seat"
Asheville,2005,bassa,12,12,85.08,"power,steering,seat"
Asheville,2008,bassa,17,19,176.74,"power,steering,seat"
Asheville,2011,media,3,3,3.33,"front,rear,seat"
Asheville,2013,alta,1,1,0.0,"clean,carfax,appointment"
Asheville,2016,media,30,37,36.11,"front,rear,wheel"
Asheville,2019,media,66,164,132.84,"front,rear,power"
Ashland,1999,bassa,1,1,41.0,"power,front,steering"
Ashland,2006,bassa,9,9,117.22,"front,rear,power"
Ashland,2010,media,2,2,3.0,"rear,front,driver"
Ashland,2016,media,19,25,14.56,"rear,front,power"
