city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
(2) Street Racing,,bassa,0,1,,""
**** Premium Plus package * Driver Assistance package * Vision package * Cold Weather package * Towing package ****,,bassa,0,1,,""
-	Blind Spot Assist,,bassa,0,1,,""
-	Premium sound system with sub-woofer in trunk,,bassa,0,1,,""
- A pillar pod with Air/Fuel Ratio and Oil Pressure,,bassa,0,1,,""
- Driver and front passenger Knee airbags,,bassa,0,1,,""
- ESC (Electronic Stability Control) With secondary collision brake assist,,bassa,0,1,,""
- Entire bed is custom,,bassa,1,1,,""
- Heads-up Display,,bassa,0,1,,""
- Maximum Motorsports Caster/Camber plates,,bassa,0,1,,""
- Panoramic sun roof,,bassa,0,1,,""
-A folding removable jump seat for more space for more activities!,,bassa,0,1,,""
-New Air cabin filter @ 55.9Kmiles,,bassa,0,1,,""
174,,bassa,0,1,,""
"18\"\" 10-Spoke Wheels",,bassa,0,1,,""
Aberdeen,2018,bassa,13,22,73.27,"power,control,steering"
Abingdon,2013,media,3,3,9.67,"front,rear,power"
Abingdon,2020,alta,14,39,77.67,"rear,power,front"
Abington,2006,bassa,7,9,294.22,"front,rear,seat"
Abington,2018,bassa,10,12,41.83,"available,front,2018"
Accident,2017,media,2,2,65.5,"front,rear,comma"
Acton,2007,bassa,2,2,39.0,"front,rear,type"
Acton,2017,media,29,55,49.27,"rear,front,power"
Acton,2018,alta,1,1,46.0,"seat,driver,rear"
Adamsburg,2012,bassa,3,3,5.0,"front,rear,power"
Adamsburg,2017,bassa,3,4,40.0,"front,rear,wheel"
Addison,1990,bassa,1,1,573.0,"united,auto,exchange"
Addison,1994,bassa,2,2,36.0,"power,steering,wheel"
Addison,1995,bassa,3,3,281.33,"power,front,auto"
Addison,2003,media,1,1,69.0,"power,control,system"
Addison,2018,bassa,1,1,75.0,"front,rear,type"
Addison,2019,alta,2,2,219.0,"power,rear,front"
Adrian,2016,bassa,5,5,27.4,"front,rear,wheel"
Adrian,2017,media,18,35,39.4,"front,rear,wheel"
Adrian,2019,alta,3,3,398.67,"front,rear,seats"
Agawam,2002,bassa,1,1,5.0,"power,cargo,airbag"
Agawam,2003,bassa,3,3,123.0,"front,power,steering"
Agawam,2012,bassa,8,8,82.5,"front,rear,type"
Agawam,2021,alta,1,1,90.0,"front,power,manual"
Agawam,2021,media,2,4,42.0,"front,power,ford"
Akron,1988,bassa,1,1,6.0,"power,type,rear"
Akron,1997,bassa,3,3,71.67,"power,front,seat"
Akron,2008,bassa,39,49,32.94,"front,rear,power"
Akron,2008,media,3,3,36.0,"front,rear,power"
Akron,2012,alta,4,4,41.5,"front,rear,dual"
Akron,2019,alta,19,27,221.74,"front,power,rear"
Albany,2000,media,1,1,3.0,""
Albany,2004,bassa,1,1,88.0,"front,power,steering"
Albany,2012,bassa,22,23,75.96,"front,rear,power"
Albany,2014,alta,2,2,19.0,"front,color,rear"
Albany,2017,bassa,56,142,35.12,"front,rear,power"
Albany,2021,bassa,1,6,32.67,"power,wheel,rear"
Albemarle,2007,bassa,1,1,50.0,"front,steering,speed"
Albemarle,2017,bassa,9,14,49.07,"front,wheel,power"
Albion,2017,bassa,7,11,31.09,"carfax,premium,front"
Alcoa,2009,bassa,2,2,15.0,"front,rear,wheel"
Alcoa,2021,alta,1,1,62.0,"rear,driver,seat"
Aledo,2013,bassa,1,1,70.0,"front,wheel,dodge"
Allegan,2007,bassa,1,1,4.0,"recent,arrival,leather"
Allendale,2015,bassa,1,1,5.0,"power,wheel,heated"
Allentown,2001,media,1,1,0.0,"front,steering,wheel"
Allentown,2005,bassa,11,13,34.85,"front,power,rear"
Allentown,2012,media,2,2,83.0,"wheel,power,engine"
Allentown,2017,alta,7,17,22.29,"power,seat,passenger"
Allentown,2017,bassa,56,228,39.83,"front,rear,power"
Alliance,2010,bassa,4,4,23.75,"power,front,wheel"
Alliance,2013,bassa,17,22,63.32,"power,front,steering"
Allston,2005,media,1,1,1.0,"adjustable,front,power"
Allston,2014,bassa,1,1,17.0,"prices,subject,change"
Allston,2014,media,3,3,24.33,"package,assist,parking"
Allston,2016,alta,1,1,35.0,"package,black,front"
Allston,2016,bassa,1,1,56.0,"rear,radio,power"
Alsip,2012,bassa,12,16,30.94,"front,rear,power"
Altoona,2013,bassa,12,17,29.65,"front,rear,audio"
Altoona,2014,bassa,13,14,21.79,"front,rear,power"
Altoona,2020,bassa,10,114,154.84,"front,rear,power"
Altoona,2021,alta,1,1,63.0,"black,info,dealer"
Amarillo,2019,alta,1,1,18.0,"rear,sierra,1500"
Ambler,2013,bassa,3,3,32.67,"while,system,power"
Ambler,2016,bassa,2,2,11.0,"system,keyless,escape"
Ambler,2020,alta,4,8,95.38,"additional,info,power"
Amesbury,2014,bassa,1,1,118.0,"clean,power,miles"
Amesbury,2017,media,7,13,30.08,""
Amherst,2007,bassa,1,1,13.0,"front,power,cars"
Amherst,2020,media,58,588,92.24,"front,rear,power"
Amherst,2021,alta,1,4,21.75,"color,additional,info"
Amherst,2021,bassa,1,3,23.33,"front,system,rear"
Amityville,2010,bassa,3,3,238.0,"prices,accurate,wheel"
Amityville,2019,media,23,30,87.83,"front,rear,wheel"
Amityville,2021,media,1,9,18.22,"front,rear,steering"
Amsterdam,2016,media,4,6,15.67,"front,power,rear"
Anacortes,2006,media,1,1,8.0,"front,power,rear"
Anderson,2003,bassa,1,1,21.0,"available,wheel,additional"
Andover,2002,media,2,2,145.0,"carfax,2002,chevrolet"
Andover,2014,bassa,1,1,8.0,"wheel,steering,power"
Andover,2018,media,1,1,12.0,"front,rear,power"
Andover,2019,media,1,1,640.0,"front,rear,audio"
Ann Arbor,2018,bassa,7,9,16.11,"2018,awards,front"
Annapolis,2016,bassa,34,43,37.84,"front,rear,power"
Anson,2019,media,1,1,46.0,"warranty,whichever,comes"
Ansonia,2002,bassa,2,4,325.5,"carfax,certified,maintenance"
Ansonia,2010,bassa,16,19,118.0,"certified,carfax,state"
Ansonia,2013,media,11,19,174.84,"certified,carfax,state"
Ansonia,2015,media,16,17,230.94,"certified,state,carfax"
Ansonia,2019,bassa,1,1,398.0,"2019,price,certified"
Antioch,2012,bassa,11,12,21.0,"front,rear,wheel"
Antioch,2020,alta,14,55,87.75,"front,power,2020"
Apex,2017,alta,2,2,11.5,"front,seats,rear"
Apex,2017,media,65,117,37.03,"front,rear,seats"
Apex,2018,bassa,17,21,46.81,"front,rear,wheel"
Apex,2020,alta,15,108,137.88,"front,rear,power"
Apollo,2014,bassa,1,1,25.0,"power,front,seats"
Appomattox,2010,bassa,1,1,19.0,"please,control,power"
Appomattox,2010,media,1,1,62.0,"power,please,clock"
Appomattox,2013,bassa,3,4,12.25,"power,bags,please"
Appomattox,2014,bassa,4,4,46.5,"power,please,control"
Archbald,2020,alta,4,4,87.25,"package,comes,seats"
Arden,2004,bassa,1,1,750.0,"front,power,rear"
Arden,2012,bassa,2,3,141.67,"front,rear,type"
Arden,2015,bassa,1,1,14.0,"front,rear,type"
Ardmore,2020,media,26,285,120.74,"power,rear,control"
Arleta,2010,bassa,1,1,35.0,"front,rear,type"
Arlington,2015,alta,2,2,132.5,"power,mirror,rear"
Arlington,2018,media,38,75,30.41,"power,rear,front"
Arlington Heights,2004,bassa,3,3,463.0,"power,credit,used"
Arlington Heights,2017,media,61,161,31.98,"front,rear,power"
Arlington Heights,2021,media,2,11,16.0,"msrp,2021,ford"
Arundel,2011,bassa,1,1,56.0,"wheel,maine,steering"
Arundel,2015,media,6,6,24.0,"wheel,power,control"
Arundel,2017,media,5,8,57.0,"power,wheel,control"
Asbury Park,2017,bassa,14,23,53.3,"front,rear,power"
Asbury Park,2017,media,18,22,39.59,"front,rear,power"
Asheboro,2010,bassa,6,6,186.83,"front,rear,door"
Asheboro,2014,bassa,17,20,65.4,"power,front,rear"
Asheville,2017,alta,3,3,25.67,"front,power,rear"
Asheville,2017,media,48,76,35.61,"front,rear,power"
Asheville,2020,alta,49,154,74.27,"rear,front,power"
Ashland,2011,media,2,2,20.5,"front,rear,jeep"
Ashland,2012,bassa,26,31,30.42,"front,rear,wheel"
