city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
(3) Drag Strip Racingjh,,bassa,0,1,,""
*The F-150 has earned top marks in every crash test it's been subjected to,,bassa,0,1,,""
- 3.71 rear differential gear ratio,,bassa,0,1,,""
- Bassani X pipes with cats,,bassa,0,1,,""
- Carbon Fiber Vented Hood (Functional),,bassa,0,1,,""
- Griggs Adjustable Coilovers,,bassa,0,1,,""
- Griggs Tubular K-Member,,bassa,0,1,,""
- Griggs upper and lower control arms,,bassa,0,1,,""
- Rain & lights sensor,,bassa,0,1,,""
- Viper Alarm,,bassa,0,1,,""
- Vortech Aftercooler,,bassa,0,1,,""
-Flip out Table,,bassa,0,1,,""
-New Michellin Pilot 4s Tires + Alignment and balance @ 55K Miles.,,bassa,0,1,,""
-Premium oversize off-roading tires w/ lots of tread,,bassa,0,1,,""
-Recent Ceramic coated and paint corrected/polished @ 54k Miles,,bassa,0,1,,""
"20\"\" 10-spoke wheels",,bassa,0,1,,""
6 inch Rough Country Suspension lift with new lifted struts instead of just a spacer for the factory struts($1600),,bassa,0,1,,""
Aberdeen,2013,media,1,1,1.0,"preston,sets,keys"
Abilene,2012,bassa,1,1,39.0,"front,rear,steering"
Abilene,2016,media,2,2,29.5,"front,rear,power"
Abingdon,2020,bassa,3,8,153.88,"front,rear,wheel"
Abington,2017,bassa,36,44,101.84,"available,2017,front"
Abington,2018,media,13,13,67.15,"front,available,power"
Active Blind Spot Assist,,bassa,0,1,,""
Acton,2009,bassa,2,2,28.0,"front,rear,power"
Adamsburg,2019,alta,2,2,252.5,"lariat,deliver,summer"
Addison,2004,media,2,2,14.5,"power,front,seat"
Addison,2006,media,2,2,37.0,"front,rear,power"
Addison,2010,media,3,3,76.0,"power,control,front"
Addison,2012,media,3,3,65.0,"front,rear,type"
Addison,2013,alta,4,4,201.0,"rear,front,power"
Addison,2018,alta,5,5,142.8,"parking,power,front"
Addison,2019,bassa,4,4,27.5,"auto,gallery,chicago"
Addison,2020,media,1,1,20.0,"power,steering,rear"
Adrian,2015,media,1,1,12.0,"front,2015,rear"
Adrian,2017,bassa,5,10,39.9,"front,rear,2017"
Advance,2011,bassa,8,8,112.75,"rear,front,wheel"
Advance,2012,bassa,5,7,84.71,"front,rear,system"
Afton,2019,media,1,1,39.0,"clean,miles,perfect"
Agawam,2010,bassa,3,3,50.0,"front,rear,type"
Agawam,2018,bassa,4,8,60.13,"front,rear,power"
Agawam,2019,media,15,36,275.69,"front,rear,ford"
Akron,1990,bassa,1,1,413.0,"available,additional,info"
Akron,2004,bassa,13,14,42.79,"power,front,wheel"
Akron,2006,media,1,1,55.0,"wheel,system,rear"
Akron,2009,alta,1,1,183.0,"bentley,continental,flying"
Akron,2013,media,10,13,38.08,"front,rear,power"
Akron,2014,bassa,58,102,47.76,"front,rear,power"
Albany,2008,media,2,2,16.5,"front,rear,power"
Albemarle,2011,bassa,4,4,41.75,"front,rear,wheel"
Albemarle,2015,bassa,6,6,63.17,"front,rear,wheel"
Albion,2020,alta,3,4,18.75,"includes,rear,package"
Albion,2020,media,14,36,91.44,"power,engine,automatic"
Albuquerque,2015,media,2,2,33.0,"power,pilot,seat"
Alcoa,2013,bassa,8,8,18.88,"front,power,wheel"
Alcoa,2015,bassa,13,13,78.0,"rear,wheel,power"
Alcoa,2018,media,13,32,48.22,"power,rear,driver"
Alcoa,2020,alta,8,34,56.26,"2020,rear,additional"
Alcoa,2021,bassa,1,3,24.67,"rear,front,passenger"
Alden,2004,bassa,1,1,7.0,"front,power,seat"
Alden,2006,bassa,2,2,13.5,"rear,front,power"
Alexandria,1997,media,1,1,385.0,"credit,drive,inspected"
Alexandria,2007,media,1,1,183.0,"power,credit,seats"
Alexandria,2010,media,1,1,12.0,"front,rear,power"
Alexandria,2011,bassa,25,29,33.76,"front,power,rear"
Alexandria,2015,media,24,28,40.04,"front,power,rear"
Alexandria,2016,bassa,43,58,67.74,"power,front,rear"
Alexandria,2018,bassa,28,59,51.9,"front,rear,power"
Alexandria,2019,bassa,19,28,51.71,"rear,power,front"
Alexandria,2019,media,80,174,98.44,"front,power,rear"
Algonquin,2019,bassa,4,7,22.57,"power,rear,mirror"
Algonquin,2020,alta,1,1,326.0,"rear,seat,mirror"
Allegan,2018,media,5,6,108.5,"power,driver,front"
Allegan,2020,alta,2,2,13.5,"power,rear,package"
Allentown,1999,bassa,2,2,44.0,"vehicle,price,just"
Allentown,2004,bassa,9,11,19.73,"front,power,rear"
Allentown,2010,bassa,29,33,37.79,"front,rear,type"
Allentown,2015,bassa,52,80,29.06,"front,rear,power"
Allentown,2021,media,17,112,20.73,"power,wheel,rear"
Alliance,2006,media,1,1,3.0,"speed,power,axle"
Alliance,2011,media,2,2,21.5,"engine,power,diesel"
Alliance,2017,bassa,23,49,50.53,"power,front,rear"
Alliance,2021,alta,4,9,6.0,"power,rear,front"
Allston,2016,media,4,5,40.2,"package,audi,heated"
Alma,2010,bassa,4,4,128.0,"front,rear,wheel"
Alma,2019,alta,1,1,201.0,"wheel,steering,rear"
Alma,2019,media,16,16,145.44,"front,rear,power"
Alpena,2011,bassa,4,5,30.2,"power,front,seat"
Alpena,2020,media,16,122,78.34,"automatic,speed,axle"
Alpharetta,2019,media,1,2,8.0,"front,rear,steering"
Alsip,1957,media,1,1,11.0,"purchase,confidence,quality"
Alsip,1998,bassa,1,1,4.0,"power,additional,info"
Alsip,2002,bassa,6,6,35.33,"power,cars,sale"
Alsip,2005,bassa,6,6,80.83,"cars,sale,under"
Alsip,2008,bassa,13,13,108.23,"front,rear,power"
Alsip,2015,media,1,1,386.0,"front,rear,power"
Alsip,2018,media,1,3,58.0,"steering,power,side"
Altavista,2021,media,1,1,22.0,"front,rear,power"
Altoona,2019,bassa,28,67,136.67,"front,rear,power"
Altoona,2020,alta,10,10,94.2,"power,front,rear"
Alvin,2019,media,1,1,175.0,"power,driver,mirrors"
Amarillo,2015,bassa,1,1,18.0,"iihs,safety,pick"
Amarillo,2015,media,2,2,17.5,"power,rear,seat"
Amarillo,2016,bassa,1,1,28.0,"engine,power,driver"
Amarillo,2020,media,3,3,24.67,"power,front,rear"
Ambler,2014,bassa,1,1,33.0,"navigation,offers,leather"
Ambler,2015,bassa,1,1,7.0,"additional,info"
Ames,2016,media,1,1,195.0,"wheel,mirrors,steering"
Amherst,2000,bassa,1,1,16.0,"rear,front,dual"
Amityville,2015,bassa,13,13,34.31,"front,rear,wheel"
Amityville,2019,alta,1,1,27.0,"power,door,front"
Amityville,2019,bassa,12,12,33.83,"front,rear,wheel"
Amityville,2020,bassa,5,6,43.5,"system,rear,wheel"
Amsterdam,2009,bassa,2,2,23.5,"front,wheel,rear"
Amsterdam,2013,bassa,4,4,29.75,"rear,front,power"
Amsterdam,2014,media,1,1,14.0,"automatic,rear,clean"
Amsterdam,2015,media,4,7,24.0,"front,rear,seat"
Anaheim,2013,bassa,1,1,48.0,"airbags,power,wheel"
Anaheim,2017,alta,1,1,67.0,"price,vehicle,jstar"
Anderson,2008,bassa,2,2,10.0,"power,control,bags"
Andover,2017,media,9,14,39.71,"front,rear,power"
Angola,2012,bassa,2,2,263.0,"power,control,side"
Angola,2017,media,1,1,32.0,""
Ann Arbor,2009,bassa,1,1,15.0,"front,wheel,steering"
Ann Arbor,2016,media,4,5,15.8,"front,rear,power"
Ann Arbor,2019,media,13,18,170.78,"front,rear,power"
Ann Arbor,2020,bassa,3,13,130.23,"front,steering,wheel"
Annapolis,2017,media,77,183,35.1,"front,power,rear"
Annapolis,2018,bassa,29,44,45.59,"front,rear,power"
Ansonia,1996,media,1,1,1043.0,"certified,state,facility"
Ansonia,2008,bassa,10,13,59.38,"certified,carfax,state"
Ansonia,2012,bassa,23,28,180.96,"certified,2012,state"
Ansonia,2012,media,11,16,134.13,"certified,carfax,state"
Ansonia,2014,media,12,19,240.26,"certified,state,carfax"
Ansonia,2017,media,10,17,106.53,"certified,state,carfax"
Ansonia,2018,alta,1,1,487.0,"seat,front,rear"
Antioch,2003,media,1,1,1.0,"rear,front,seat"
Antioch,2014,media,3,3,18.67,"front,rear,power"
Antioch,2017,alta,3,3,15.33,"power,rear,system"
Apalachin,2016,bassa,10,10,94.7,"power,rear,seat"
Apex,2001,bassa,1,1,3.0,"leather,steering,wheel"
Apex,2011,bassa,2,3,15.0,"front,wheel,steering"
Apex,2015,media,5,7,9.71,"front,rear,seats"
Apex,2016,alta,2,2,12.5,"front,rear,power"
Apollo,2016,media,1,1,104.0,"power,wheel,mirror"
Appleton,2016,bassa,1,1,19.0,"front,rear,power"
Appomattox,2009,bassa,2,2,62.0,"power,please,wheel"
Aransas Pass,2015,bassa,1,1,20.0,"great,vehicle,control"
Archbald,2019,bassa,2,2,69.0,"2019,within,fair"
Archbald,2019,media,3,6,253.83,"comes,buick,eynon"
Arden,2018,alta,1,1,46.0,"passenger,rear,power"
Arden,2019,bassa,1,1,61.0,"rear,power,wheel"
Arden,2020,alta,10,30,186.5,"rear,power,mirror"
Ardmore,2011,bassa,4,4,12.5,"2011,power,market"
Ardmore,2014,bassa,7,7,9.71,"power,rear,wheel"
Ardmore,2020,bassa,2,6,148.83,"power,rear,front"
Arlington,2004,bassa,12,12,46.58,"front,rear,wheel"
Arlington,2005,bassa,10,10,48.9,"front,rear,power"
