city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
"$5000 or Best Serious Offer. Private sale. \"",,bassa,0,1,,""
-	15-inch 6 Piston Brembo Brakes,,bassa,0,1,,""
"- All digital cluster display 12.3\"\" LCD (a premium option)",,bassa,0,1,,""
"- Anderson 4\"\" intake tube",,bassa,0,1,,""
- Front and Rear parking sensors,,bassa,0,1,,""
- Griggs Racing Suspension,,bassa,0,1,,""
- Kenny Brown IRS brace,,bassa,0,1,,""
- Magnetic active dampening suspension system and can handle any corner!,,bassa,0,1,,""
- Performance Trim 2.0T engine,,bassa,0,1,,""
- Saleen light bar,,bassa,0,1,,""
- Urethane bushings,,bassa,0,1,,""
-Electric cooler hidden under seat,,bassa,0,1,,""
Aberdeen,2014,media,4,5,13.8,"power,rear,driver"
Aberdeen,2017,media,17,35,44.86,"power,rear,wheel"
Aberdeen,2020,bassa,3,4,45.25,"system,additional,audio"
Aberdeen,2021,media,5,9,32.33,"system,additional,front"
Abingdon,2005,bassa,2,2,25.5,"power,wheel,additional"
Abingdon,2014,media,1,1,5.0,"sierra,1500,extended"
Abingdon,2019,bassa,5,5,38.8,"front,rear,wheel"
Abington,2004,bassa,2,2,309.0,"power,front,rear"
Abington,2008,bassa,11,11,494.27,"front,rear,type"
Abington,2014,bassa,22,30,166.33,"front,rear,power"
Abington,2019,bassa,4,4,61.0,"front,available,power"
Accident,2015,bassa,3,3,41.33,"front,comma,rear"
Active Multicontour Front Seats,,bassa,0,1,,""
Acton,2010,bassa,8,8,150.5,"front,rear,power"
Acton,2016,bassa,8,8,47.5,"rear,front,power"
Acton,2018,media,19,31,54.81,"rear,front,power"
Acton,2019,alta,2,2,252.0,"seat,power,driver"
Acton,2021,media,8,54,18.13,"rear,power,system"
Addison,1969,alta,1,1,83.0,"auto,gallery,chicago"
Addison,1976,bassa,1,1,21.0,"full,leather,interior"
Addison,1986,bassa,1,1,237.0,"power,steering,conditioning"
Addison,1993,bassa,1,1,47.0,"front,power,steering"
Addison,2008,media,3,3,44.33,"front,rear,power"
