city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
Heated Windshield Washer nozzles,,bassa,0,1,,""
DriverAirbag Passenger,,bassa,0,1,,""
BlueTooth,,bassa,0,1,,""
Power Locks,,bassa,0,1,,""
Power Steering,,bassa,0,1,,""
-	Apple Carplay/Android Auto,,bassa,0,1,,""
-	Automatic Wipers,,bassa,0,1,,""
"- 100gal fuel cell with pump also included \"",,bassa,0,1,,""
- 24 valve Cummins non 53 block,,bassa,0,1,,""
- 5spd NV4500 manual trans,,bassa,0,1,,""
- K&N Air Filter,,bassa,0,1,,""
- No rust whatsoever anywhere,,bassa,0,1,,""
- Only 103,,bassa,0,1,,""
- V-sport package (sport brakes,,bassa,1,1,,""
- Weathertech all weather mats included with stock floor mats,,bassa,0,1,,""
-Carefully maintained and in great condition w/ low mileage,,bassa,0,1,,""
20% window tint,,bassa,0,1,,""
Aberdeen,2008,bassa,3,5,78.0,"rear,front,speed"
Aberdeen,2016,bassa,21,28,57.89,"power,control,steering"
Aberdeen,2018,media,11,13,29.31,"power,rear,front"
Aberdeen,2020,alta,12,67,31.06,"info,additional,radio"
Aberdeen,2020,media,35,288,92.51,"rear,front,power"
Abingdon,2015,media,3,4,21.75,"front,rear,wheel"
Abingdon,2018,alta,2,2,8.5,"front,rear,power"
Abingdon,2019,media,30,54,106.0,"front,rear,power"
Abingdon,2020,media,31,215,91.75,"front,rear,driver"
Abington,2007,bassa,13,14,229.21,"front,rear,type"
Abington,2016,bassa,30,35,102.03,"front,rear,available"
Accident,2012,bassa,1,1,12.0,"rear,front,power"
Acton,2005,bassa,3,3,24.33,"front,power,rear"
Acton,2006,bassa,1,1,38.0,"front,type,tire"
Acton,2020,bassa,3,8,77.38,"rear,system,wheel"
Addison,1979,bassa,1,1,83.0,"auto,gallery,chicago"
Addison,2005,bassa,13,16,61.5,"front,power,rear"
Addison,2005,media,1,1,88.0,"auto,gallery,chicago"
Addison,2009,alta,1,1,82.0,"rolls,royce,phantom"
Addison,2016,media,11,13,125.54,"front,rear,power"
Adrian,2006,media,1,1,60.0,"rear,seat,front"
Adrian,2018,alta,1,1,199.0,"rear,front,steering"
Advance,2013,bassa,6,6,43.83,"front,rear,system"
Agawam,2013,bassa,8,9,60.0,"front,rear,system"
Agawam,2015,bassa,5,6,27.83,"front,rear,power"
Aiken,1996,bassa,1,1,21.0,"power,wheel,audio"
Akron,1988,alta,1,1,11.0,"vehicle,akron,every"
Akron,1996,media,1,1,76.0,""
Akron,2009,bassa,31,37,38.32,"front,rear,power"
Akron,2017,bassa,82,377,38.2,"front,rear,power"
Albany,1995,bassa,1,1,84.0,"power,wheel,front"
Albany,2008,bassa,6,6,60.5,"front,rear,type"
Albany,2011,media,3,3,9.67,"front,rear,seat"
Albany,2015,bassa,37,53,55.04,"front,rear,power"
Alcoa,2010,bassa,1,1,30.0,"front,steering,wheel"
Alcoa,2016,media,7,9,14.0,"power,rear,front"
Alcoa,2017,media,16,32,31.53,"rear,power,wheel"
Alden,2005,bassa,2,2,919.5,"front,power,wheel"
Alden,2009,bassa,6,6,150.17,"front,rear,type"
Alden,2016,bassa,1,2,13.5,"front,rear,type"
Alexandria,2003,bassa,3,3,37.0,"power,seat,steering"
Alexandria,2004,bassa,2,2,96.0,"power,credit,inspected"
Alexandria,2016,alta,3,6,36.33,"front,power,rear"
Alexandria,2020,alta,69,368,92.78,"power,rear,front"
Alexandria,2020,bassa,17,165,132.47,"power,rear,front"
Alexandria,2021,media,27,247,35.82,"rear,front,power"
Algonquin,2016,media,1,1,10.0,"power,rear,mirror"
Algonquin,2021,media,4,103,23.34,"power,rear,wheel"
Alhambra,2019,media,1,1,224.0,"front,rear,seat"
Allegan,2013,bassa,1,1,538.0,"front,rear,wheel"
Allegan,2017,bassa,8,11,72.0,"front,rear,power"
Allegan,2020,media,10,14,92.79,"front,seat,rear"
Allentown,2004,media,1,1,61.0,"power,wheel,remote"
Allentown,2007,bassa,12,12,46.83,"front,rear,power"
Allentown,2016,media,36,44,40.57,"power,rear,seat"
Allentown,2017,media,91,263,35.44,"power,rear,wheel"
Allentown,2018,alta,15,19,55.58,"power,rear,seat"
