city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
-	Front strut tower brace,,bassa,0,1,,""
-	Heated/cooled leather seats,,bassa,0,1,,""
- Runs and drives perfectly,,bassa,0,1,,""
- Saleen S351 rear wing,,bassa,0,1,,""
- TPMS (tire pressure monitoring system),,bassa,0,1,,""
20x10 Vision 360 Sliver with -25 offset. I had then ceramic coated when they were new before the tires were mounted( $292 per wheel plus $50 per wheel ceramic coating- $1368 total),,bassa,0,1,,""
Aberdeen,2016,media,8,11,27.91,"power,rear,wheel"
Aberdeen,2019,media,22,32,81.41,"power,rear,front"
Aberdeen,2021,bassa,1,6,4.17,"additional,audio,system"
Abingdon,2013,bassa,9,10,59.3,"front,rear,power"
Abingdon,2018,media,13,15,47.27,"front,rear,driver"
Abingdon,2021,alta,1,1,13.0,"front,rear,driver"
Abington,2003,bassa,2,2,935.0,"power,rear,front"
Abington,2012,bassa,19,26,560.81,"front,rear,type"
Abington,2015,bassa,25,34,205.91,"front,rear,power"
Abington,2017,media,34,42,45.62,"available,front,rear"
Accident,2016,bassa,1,1,40.0,"front,power,rear"
Accident,2016,media,1,1,26.0,"front,rear,manual"
Accident,2017,bassa,4,4,27.5,"comma,rear,front"
Active Lane Keeping Assist,,bassa,0,1,,""
Acton,2011,media,1,1,18.0,"passenger,sales,vehicle"
Acton,2014,bassa,4,4,183.75,"rear,front,power"
Acton,2019,bassa,5,7,277.86,"rear,front,audio"
Acton,2020,alta,14,40,170.53,"power,rear,system"
Acton,2021,alta,3,8,9.5,"rear,system,power"
Ada,2017,bassa,1,1,21.0,"experience,difference,seth"
Adamsburg,2018,bassa,1,1,14.0,"deliver,keep,safe"
Addison,1995,media,1,1,91.0,"power,conditioning,steering"
Addison,2000,bassa,5,5,66.6,"power,wheel,rear"
Addison,2008,alta,1,1,175.0,"rear,front,system"
Addison,2014,bassa,24,27,77.59,"front,rear,power"
Addison,2015,bassa,18,19,62.05,"front,rear,power"
Adrian,2013,bassa,7,8,20.75,"front,rear,wheel"
Adrian,2018,bassa,6,7,34.14,"front,rear,wheel"
Agawam,2012,media,1,1,22.0,"front,rear,color"
Agawam,2013,media,5,5,16.2,"front,rear,system"
Akron,2000,bassa,4,4,38.0,"front,power,wheel"
Akron,2011,media,1,1,8.0,"rear,front,power"
Akron,2016,media,50,63,31.32,"front,rear,power"
Akron,2018,alta,8,9,159.11,"rear,front,power"
